Minisector,LEC,HAD,Fastest
0,296.78359090423544,297.32256054416524,HAD
1,305.5,306.26953134285714,HAD
2,309.2615351747368,310.73227452239587,HAD
3,292.4107121329064,301.1030388187654,HAD
4,173.34286279717105,163.5494308393701,LEC
5,212.45645479505933,213.05900730808082,HAD
6,241.44138905396827,239.26580825396127,LEC
7,270.5085524518095,268.9391167435294,LEC
8,258.123404295439,245.99729019407405,LEC
9,158.9592603515958,159.12624389994056,HAD
10,224.45231298586683,217.16055571418872,LEC
11,126.49169973855248,122.62669946586088,LEC
12,228.65396862666668,224.59231897484042,LEC
13,176.9793002425449,160.5326435992521,LEC
14,216.2263045738528,225.0908983782083,HAD
15,244.90876841876047,240.5060621822574,LEC
16,268.86821124397574,268.7794622256854,LEC
17,291.9578870222222,290.2527743991534,LEC
18,152.20325549099493,137.2650514839235,LEC
19,163.09400428440512,163.31812531196354,HAD
20,140.1071126111191,145.41625479399823,HAD
21,229.0368913673096,231.81452512187175,HAD
22,263.6209359210486,260.24954550730496,LEC
23,252.5286937095626,251.58349879950487,LEC
24,278.3283217817134,279.59712644898514,HAD
25,289.8875008,,LEC
