Minisector,LEC,GRO,Fastest
0,294.6144609882353,286.6736110814815,LEC
1,304.46672147004006,296.89832904558756,LEC
2,308.2348958,300.3942336095238,LEC
3,307.2552078666667,302.0747560784314,LEC
4,178.937051403562,167.03393264201134,LEC
5,214.1990354507915,210.7480209201175,LEC
6,245.00059474285712,245.44166677333334,GRO
7,269.48390194017657,264.65995348148147,LEC
8,267.60668197248674,267.0788687009524,LEC
9,168.2856085745579,168.4215454680727,GRO
10,237.31116162705453,232.81726201904763,LEC
11,136.60500120380954,141.19218717964466,GRO
12,221.52575967226153,219.57427538550726,LEC
13,196.38198046878043,198.688499712,GRO
14,216.65417212253917,209.74479804554863,LEC
15,254.96854197333332,252.47916645333333,LEC
16,262.5810319863918,262.5074307376226,LEC
17,287.8443271798319,281.99007935661376,LEC
18,137.41762284817779,138.61233960810105,GRO
19,160.21657031766514,154.04268683098104,LEC
20,148.3439726440336,145.7814457164626,LEC
21,169.1264521035165,173.40911305501444,GRO
22,118.71407790919157,117.32838827318494,LEC
23,226.31646659047618,220.34039930434784,LEC
24,272.3124052531328,264.7581021375661,LEC
25,,278.7529026078894,GRO
