Minisector,PER,ALB,Fastest
0,284.3753434086478,278.37427996414857,PER
1,132.40416017790827,117.6009055241031,PER
2,160.0261589990715,148.0856789245213,PER
3,231.15062852498698,204.75352980955128,PER
4,163.24323547933508,161.6005392087683,PER
5,239.7967361415539,240.45994401966036,ALB
6,229.87690986745656,194.52671351966606,PER
7,136.94701550976598,132.21977236462584,PER
8,231.5908383453804,231.89957134754346,ALB
9,271.8261945722231,273.9444734809171,ALB
10,282.58978953415595,283.47332547764705,ALB
11,149.9169386855914,144.03575945527655,PER
12,222.0445618937753,214.16981285197136,PER
13,265.8892813196355,267.3065441169665,ALB
14,267.5506831021554,260.4156815390476,PER
15,102.6115723449419,96.04662659651869,PER
16,221.61661247907648,219.88790702145283,PER
17,270.3457318495722,271.16965864150075,ALB
18,289.64641773262787,293.8652426179663,ALB
19,298.86460623451705,302.93297998085063,ALB
20,304.45925209,310.12103168456326,ALB
21,301.5916658871795,284.8385085090909,PER
22,154.97535734872332,147.2059505946236,PER
23,234.4668138342752,236.84381135528344,ALB
24,272.576944897098,276.8042227484445,ALB
25,283.1666666666667,,PER
