Minisector,RAI,SAI,Fastest
0,291.13267721904515,301.0600342327821,SAI
1,313.33020810666665,325.58083311999997,SAI
2,314.082630688091,307.5874981333333,RAI
3,182.4077384576871,178.04107431905126,RAI
4,219.86324642097182,220.7626550123457,SAI
5,197.6102708971724,202.86209353709117,SAI
6,184.2004727260504,189.45827084444446,SAI
7,210.09150217142857,213.416665611712,SAI
8,259.0303319111111,256.8320926349206,RAI
9,266.5180222542181,257.0894876317033,RAI
10,172.2915570526316,173.64497769570087,SAI
11,244.34186541988217,240.63996351843087,RAI
12,119.48482620892659,117.49451633494294,RAI
13,230.1209782247619,231.38959473463834,SAI
14,280.78879532235044,274.2831515826087,RAI
15,294.72136069079363,277.4150979324675,RAI
16,204.11557619809525,201.8092571504426,RAI
17,177.31167529971657,189.17829147578448,SAI
18,270.5864650199038,271.3407599304348,SAI
19,300.8496757338535,294.0861216169533,RAI
20,314.3946694380243,304.2489581333333,RAI
21,314.87979178666666,303.13931572571425,RAI
22,258.8222368975325,243.04992981138332,RAI
23,116.44812143591525,120.53985227288427,SAI
24,241.67003125536428,248.1284984502857,SAI
25,277.6124992,,RAI
