Minisector,PIA,TSU,Fastest
0,253.06232700391536,249.9235605388006,PIA
1,206.02886315649647,211.18241928066485,TSU
2,203.22941095236658,202.65008363848932,PIA
3,260.6706580296414,258.12903644971044,PIA
4,276.7271363707937,272.48155281535355,PIA
5,290.0213646328889,286.2010222419753,PIA
6,158.78980230754334,161.79456666517532,TSU
7,179.69197748755212,183.15035180161092,TSU
8,269.7154403881481,264.90102113630854,PIA
9,296.83989569765583,289.01532914378066,PIA
10,309.28464050306894,299.9144135545679,PIA
11,309.23881387795416,302.27141357656564,PIA
12,111.58257730110215,112.43219358476598,TSU
13,188.71512940911418,194.78321567324252,TSU
14,271.285761565291,268.70574676611693,PIA
15,298.7632834807017,291.086198742392,PIA
16,302.96682331936506,296.48646501818183,PIA
17,179.9791563197383,176.59875244624064,PIA
18,218.6873936136127,220.46803204217687,TSU
19,268.3802057536508,266.0039531397177,PIA
20,161.6271930196029,150.56463572210527,PIA
21,142.62823678572283,143.50803462975907,TSU
22,219.56865865912778,218.52996070999916,PIA
23,226.18223733028572,231.77667082005993,TSU
24,158.15378877442052,154.4712466882784,PIA
25,222.7250048,221.5863586909091,PIA
