Minisector,VER,HAD,Fastest
0,316.34120051976106,315.8428526520357,VER
1,329.7030375938788,328.39439176388913,VER
2,334.5342040162757,333.110837301286,VER
3,312.3937689780947,309.4855260927721,VER
4,156.08026555974814,156.84439687314566,HAD
5,192.1657346457654,191.91167674949065,VER
6,216.53580239338476,220.44475462119908,HAD
7,262.85183032549895,261.9279763266943,VER
8,234.07600232218465,247.73586690583505,HAD
9,155.70797207985424,153.27403672934832,VER
10,214.52332213022194,213.17430807470532,VER
11,124.90776477529302,125.7846823025377,HAD
12,234.00387890894007,228.76904986217838,VER
13,166.28595990815333,165.64276832256667,VER
14,208.68902008698637,212.43651976079025,HAD
15,213.1424006148613,222.08638405562573,HAD
16,255.07989161443317,265.14979600460873,HAD
17,294.37440358976045,296.66386922139077,HAD
18,142.92671797643493,136.93768452775123,VER
19,156.5590537210723,155.63462399756074,VER
20,137.97285968306412,131.16030155049282,VER
21,227.80991440876488,226.08399856773633,VER
22,249.22493723579473,249.34791676976397,HAD
23,235.9969967186004,232.06361502524587,VER
24,283.0825452780984,283.0866425918638,HAD
