Minisector,HAM,TSU,Fastest
0,261.85743969976176,250.41334078375723,HAM
1,132.0878381482539,123.19604049282337,HAM
2,266.1181029934868,259.84776449937857,HAM
3,308.1028627637607,304.1270347976,HAM
4,305.56057341177745,304.17733514432234,HAM
5,309.08496736845376,311.09455318574544,TSU
6,312.80523074056,317.4301495849573,TSU
7,315.154040738107,319.52156915132275,TSU
8,201.30410988841024,179.16477349147118,HAM
9,197.97022094498195,186.57822212174761,HAM
10,192.9437229061609,177.83921460594755,HAM
11,171.42271642541883,163.53452118263897,HAM
12,256.9961871256318,250.50716378428572,HAM
13,281.6352277603216,271.1374771952442,HAM
14,282.4149228167706,270.2920561909678,HAM
15,281.7038590041265,265.4552431312136,HAM
16,184.30454749971395,172.80031866711818,HAM
17,196.0188797283236,180.61906929875167,HAM
18,237.50783547120398,227.59697084146939,HAM
19,289.1646064009197,282.6441903604726,HAM
20,313.0059220198496,308.3635646751707,HAM
21,318.8162231204662,316.49875180930684,HAM
22,317.097845160127,316.58586170285713,HAM
23,254.61708976884364,256.3860329009939,TSU
24,109.66547798141383,106.0339322441156,HAM
25,,221.7562464,TSU
