Minisector,HAM,RIC,Fastest
0,274.26428537142857,283.48104149333335,RIC
1,289.3131316553989,309.3124167045055,RIC
2,295.06870330225564,305.20529088677245,RIC
3,135.33060567204262,119.20262288386729,HAM
4,212.3399166991004,208.20316612266666,HAM
5,259.3373020952381,260.420004281499,RIC
6,154.0298524540558,145.21925256617249,HAM
7,218.16564113118943,212.46596961144425,HAM
8,263.2765344229012,260.75291933605445,HAM
9,281.3319077754386,279.2737688380809,HAM
10,251.7219587792175,230.19616022382417,HAM
11,188.09984170740572,180.44784934930877,HAM
12,211.8683319917136,202.1822605638501,HAM
13,152.34909780180178,148.9988047079275,HAM
14,192.6537521584918,180.89471272866828,HAM
15,181.5396805727999,168.09304989555926,HAM
16,229.6961375082413,227.12607262575807,HAM
17,247.69438174290173,236.12307921038962,HAM
18,251.4609688743764,241.11760836081746,HAM
19,244.18966520335033,236.9406315163561,HAM
20,152.0396108549894,148.04012793108114,HAM
21,135.5043630709339,134.95306130406917,HAM
22,186.26315665806973,177.98842421793765,HAM
23,163.5737347931016,154.07831691160155,HAM
24,233.39195472171625,229.54678761350553,HAM
25,259.6124992,256.6124976,HAM
