Minisector,PER,OCO,Fastest
0,311.07965694117644,304.8300306217989,PER
1,219.32751162546677,212.63717159695238,PER
2,126.06331534359435,129.2361156007874,OCO
3,209.99139155868892,218.50114088877845,OCO
4,262.50704590683983,262.7416516967313,OCO
5,288.0509503013273,285.78631952748486,PER
6,303.8977309390481,298.62224696190475,PER
7,259.2798070222222,251.83096997345015,PER
8,168.86092648034477,164.35343368926127,PER
9,242.7240735401777,238.97318410831,PER
10,275.22895116140774,267.8637206646779,PER
11,259.4176806316544,257.0611441634286,PER
12,205.32699655777776,205.71755953020403,OCO
13,115.67332464644429,122.45276319555897,OCO
14,126.44772866109953,121.22991435649702,PER
15,165.84067188402116,148.42486691695515,PER
16,123.24985937101684,121.88320177915058,PER
17,224.26444995873015,224.77785033816915,OCO
18,172.36903678033508,157.82798563944974,PER
19,165.79435940515836,159.26494515164939,PER
20,243.9688028976441,242.4994956250505,PER
21,275.95756842013606,270.32510300583476,PER
22,292.27668071849644,289.47209371897435,PER
23,302.22773446761903,298.6150343911111,PER
24,306.8649934659048,305.7516230330253,PER
25,309.43888924444445,,PER
