Minisector,BOT,VER,Fastest
0,284.78601239520214,283.4477460723824,BOT
1,258.74786816609424,256.82925114173327,BOT
2,275.2531876560854,271.02640222399566,BOT
3,280.15973419104336,285.7578431372549,VER
4,135.25822159333632,139.67639419753544,VER
5,210.95315632284513,209.51515844143066,BOT
6,266.2159702921674,263.815685731926,BOT
7,287.8552565937721,284.9750179998168,BOT
8,296.92896188047285,293.08243323999,BOT
9,300.99509020061737,296.28929170296317,BOT
10,277.8411443294487,289.43402962962966,VER
11,100.49598661898544,104.13282297703887,VER
12,223.8300730935058,218.2385174549834,BOT
13,273.63940308247396,270.3466673497014,BOT
14,273.84120258510586,278.3650136455301,VER
15,135.35550602603155,135.837970318191,VER
16,215.35019891241546,210.8634017273048,BOT
17,263.0778864558997,257.4516876318125,BOT
18,259.3857403541403,265.61022236508546,VER
19,250.55233379218598,252.37440953892502,VER
20,152.48152445414914,155.19720474965374,VER
21,191.99278572647378,189.10704751354024,BOT
22,188.1456455061967,187.96479017219082,BOT
23,201.8916632446017,195.91964457144172,BOT
24,257.60554044628424,249.34104138666666,BOT
25,,273.3857152,VER
