Minisector,OCO,SAI,Fastest
0,295.01819197142856,296.4718882753102,SAI
1,304.60885888581004,304.62648807619047,SAI
2,311.1141026461538,307.03216811505195,OCO
3,309.5243525937871,295.5224356923077,OCO
4,187.7041120132505,190.42575594507687,SAI
5,97.55196274311024,98.77954962249358,SAI
6,199.3398124679833,210.168254984127,SAI
7,253.76862775574227,259.11283832403547,SAI
8,280.2537740271524,280.559896,SAI
9,288.34401073333333,281.2461095822222,OCO
10,149.75176778224858,143.9605639493778,OCO
11,173.70800119466665,181.3707673422045,SAI
12,235.42415341938073,242.73492117671958,SAI
13,241.3289855118753,237.31068003386247,OCO
14,154.36999206042694,147.13500883243776,OCO
15,209.8357757652489,211.60392468169985,SAI
16,259.1399517605698,261.6528214088979,SAI
17,280.8066669511111,281.6199208330159,SAI
18,293.6049633870252,293.04927319674664,OCO
19,301.8925015807789,299.7329508789116,OCO
20,279.69408146666666,286.2544802538508,SAI
21,146.0943174024526,148.78765127623203,SAI
22,204.76390775440578,212.31702512761905,SAI
23,257.17489576694675,260.0374599411146,SAI
24,280.756750231735,282.98920655238095,SAI
