Minisector,ALB,BEA,Fastest
0,307.81669226832895,303.4945262192714,ALB
1,228.61515390327057,201.88619088350126,ALB
2,138.85782641503107,146.433942594557,BEA
3,223.88308573930456,220.55092688675052,ALB
4,164.21981303285813,160.4486559077692,ALB
5,178.5194071274972,186.95962368877392,BEA
6,255.531044287121,256.4060784539247,BEA
7,282.71114074016987,280.1623567247059,ALB
8,289.4573936690196,287.01188722196076,ALB
9,261.23836314939683,265.278582506567,BEA
10,246.5680699665797,253.2075064051948,BEA
11,243.19041083597884,243.93427824050124,BEA
12,204.64030765286006,204.5287380605878,ALB
13,125.80895202598678,130.56948925123442,BEA
14,138.74783485704782,136.16527688793678,ALB
15,170.34091728929673,181.09407241455355,BEA
16,254.63527515511996,254.69860205355744,BEA
17,251.7415125602241,239.10203580155562,ALB
18,112.25112617244247,110.69696560248016,ALB
19,198.38862836016997,196.40528725000678,ALB
20,196.20839927990556,203.04181286698824,BEA
21,239.3160200376099,236.76569441796832,ALB
22,276.71259473550464,269.9873038222222,ALB
23,298.4691144,288.48444922666664,ALB
24,315.2038459569231,300.63948264996765,ALB
25,321.1458325333333,304.0,ALB
