Minisector,RUS,HAD,Fastest
0,303.3596076238095,300.32273880380956,RUS
1,151.48999878799566,150.03458094093278,RUS
2,215.39604823318427,216.67130941701458,HAD
3,287.4127030289947,285.9031357962482,RUS
4,317.6817009454682,312.5105788464816,RUS
5,316.692346486712,315.55188813333336,RUS
6,159.99097724931576,184.85967059575094,HAD
7,124.97367840915223,116.42036140346374,RUS
8,258.4135084497769,251.7435093832073,RUS
9,299.75714679054624,293.3010666933333,RUS
10,298.4210704457143,299.7921376080672,HAD
11,136.60051076852858,147.14442311762136,HAD
12,176.51283707657515,169.92089143972137,RUS
13,246.10367997598073,241.81078380393652,RUS
14,185.01211648326532,182.68798236296144,RUS
15,194.13031202594945,194.72730686308998,HAD
16,195.73702794533466,197.7946516884656,HAD
17,231.13929847521644,229.52540550999703,RUS
18,280.3910049901982,276.44744363174607,RUS
19,297.0346538714286,298.4582029333333,HAD
20,239.95693201904845,256.4448729452035,HAD
21,200.5576733867886,203.84876365653335,HAD
22,189.79439182368594,181.39471003303257,RUS
23,269.99198008599296,263.8480720952381,RUS
24,310.7395209052281,296.6860821500654,RUS
25,318.1666666666667,302.5125,RUS
