Minisector,PER,LAW,Fastest
0,270.1366549471861,266.1112676616462,PER
1,257.60300612714866,245.68816444210026,PER
2,119.29852187006854,116.82403325004103,PER
3,154.6030102248112,168.03692894362342,LAW
4,195.78282234542465,187.97320432243595,PER
5,182.87162966892174,189.83289055981186,LAW
6,262.8456496779842,264.4536625240931,LAW
7,284.1604933320151,284.78332334708193,LAW
8,238.69456199047622,239.46535989863352,LAW
9,141.02775329179724,143.06043736040635,LAW
10,111.14756171746774,110.07305807846775,PER
11,152.3197066680859,149.06848687891204,PER
12,241.77304378049888,240.50269104669036,PER
13,151.0022438289724,148.1695514023945,PER
14,149.27636218817756,140.5396326476462,PER
15,107.33843728074872,100.38191762649903,PER
16,218.38054745328188,210.31413283805742,PER
17,241.83431994468884,232.46349911631708,PER
18,128.9936659246507,121.79995276044865,PER
19,241.3851185926259,237.84469354902552,PER
20,274.45515557829174,273.8334954031746,PER
21,215.56419964150504,206.11684236131296,PER
22,144.91734328892989,136.38534327298245,PER
23,224.29192667275737,206.63876581514708,PER
24,223.987602867085,217.49656308803313,PER
25,,249.46025360060153,LAW
