Minisector,NOR,RIC,Fastest
0,256.03457710930945,247.56920962351936,NOR
1,203.95276359033195,208.9585182137211,RIC
2,221.36483497748696,221.4674479990963,RIC
3,262.5216047407407,262.3096340091711,NOR
4,276.5342076201141,276.61933316266663,RIC
5,223.64248590548726,226.66610930285566,RIC
6,94.65263339492903,96.57175725666644,RIC
7,187.4397840949748,182.03736985244862,NOR
8,269.16189379608977,267.4615737283951,NOR
9,289.27211462611257,290.2630434782609,RIC
10,295.9154659957857,298.3159419826087,RIC
11,292.4420298086957,299.5820652057971,RIC
12,113.46299627509994,116.34803296318272,RIC
13,217.72877046088945,209.8792924767677,NOR
14,275.48166598095236,275.0305321830694,NOR
15,293.3522568888889,295.5195651478261,RIC
16,225.43078296774195,241.68560262474267,RIC
17,121.71601859236225,125.34923571119323,RIC
18,150.83685121473073,153.14622967340364,RIC
19,252.74525951322752,253.4689883526601,RIC
20,155.6751002472319,163.2031758367347,RIC
21,130.6604046971309,128.29572802620797,NOR
22,206.78953851817414,202.47340027574586,NOR
23,207.86365362922493,218.49818264876563,RIC
24,165.61595088737073,166.9046133736668,RIC
25,229.88333226666666,227.85694506666667,NOR
