Minisector,BOT,RIC,Fastest
0,251.72951297777777,250.4371454697299,BOT
1,281.39039569846756,279.1401246961039,BOT
2,174.66178816000001,155.0694762679531,BOT
3,172.9445411549941,167.08870840988024,BOT
4,261.64635821090263,258.1804351536232,BOT
5,277.21636587775635,263.05132495930735,BOT
6,234.84500096,213.51320100136056,BOT
7,206.7024912271147,196.4653785892721,BOT
8,165.70928331956986,155.13474091862653,BOT
9,221.49320794074072,222.61571444056037,RIC
10,277.7098576074608,274.7782087345201,BOT
11,124.43788251097682,122.96971394705422,BOT
12,220.16944209382714,216.20854208345162,BOT
13,272.2607703945578,270.6295923591837,BOT
14,290.5961165061224,290.82897427788595,RIC
15,296.9260964491228,298.1675832074896,RIC
16,230.75666819000173,208.69556952025948,BOT
17,140.02344885581397,134.78245450513776,BOT
18,141.43351329626353,136.48730591630678,BOT
19,124.85521753935208,121.38480430087463,BOT
20,234.53974557407932,221.690844947624,BOT
21,260.71985863896106,246.07407521706457,BOT
22,240.15180324548678,219.3948313805669,BOT
23,216.8538138638448,202.20273888659736,BOT
24,149.03046732,147.93891984957264,BOT
25,224.53333333333333,,BOT
