Minisector,ALO,MAG,Fastest
0,279.40654191127584,276.9647105679467,ALO
1,308.8973657136616,299.71927909028165,ALO
2,296.29101678731007,292.4971560804233,ALO
3,172.3220435845176,172.94493301889386,MAG
4,109.7143256999702,110.5428428224742,MAG
5,235.55564128502954,233.70195665533205,ALO
6,278.5520504629848,288.9947544827361,MAG
7,285.2451155903841,305.7807533206349,MAG
8,166.75955846019207,159.7864885376775,ALO
9,134.211966358772,130.61024343445726,ALO
10,250.8031787171632,247.5063485878103,ALO
11,284.45216812375577,286.9283066960479,MAG
12,293.41540516844873,295.7375847057107,MAG
13,276.17922155558534,264.11068408072344,ALO
14,295.5347343726107,292.7643682787902,ALO
15,299.6515820820646,300.26939566646837,MAG
16,245.90066329358072,227.6127010625421,ALO
17,212.11709229006274,210.53918580946373,ALO
18,274.53228536449734,279.3148114771844,MAG
19,300.2004382898789,310.8410605899202,MAG
20,305.47559983675575,321.3272545180387,MAG
21,226.7193762335025,216.4392411263361,ALO
22,247.35307642534553,254.7674171850374,MAG
23,130.68417605241046,132.14742363720265,MAG
24,200.88510441175652,201.96777172475535,MAG
25,248.56485581526874,253.93333333333334,MAG
