Minisector,PER,BEA,Fastest
0,305.93383687101993,302.3240396547952,PER
1,235.43982800391402,225.20477670445212,PER
2,133.15415481908056,130.01136679872263,PER
3,228.65101614808927,237.42870964077642,BEA
4,195.07958099331395,195.85934720482,BEA
5,246.01911179744107,250.15401186478985,BEA
6,231.8291563445421,235.83983075100167,BEA
7,260.6174989019734,257.45203704550266,PER
8,287.0515511203078,290.3044216469289,BEA
9,202.97111049142856,202.90004761904763,PER
10,207.39061656971904,204.29744120839737,PER
11,268.83035595663796,274.74797130332246,BEA
12,212.92607900154195,213.06094786605615,BEA
13,248.95251418891445,249.2336304986185,BEA
14,291.7124926254994,291.0732639111111,PER
15,308.0189765101449,306.73297210223797,PER
16,305.438027981118,312.2368253968254,BEA
17,217.01313465288325,217.97277663648973,BEA
18,261.3380623406338,259.51468877018874,PER
19,295.2432439674459,293.90569859177737,PER
20,310.4169283980381,308.5462599206349,PER
21,309.8635750472934,313.1588175767259,BEA
22,152.8087752456242,155.41133557056523,BEA
23,232.95314380695748,226.55504921633442,PER
24,285.71928675897436,280.76538529191697,PER
25,296.49999872,289.20310631898354,PER
