Minisector,NOR,ALB,Fastest
0,306.19340736317866,305.7092547380755,NOR
1,321.2145832888889,321.72526459732023,ALB
2,283.29252432409737,297.19831534475304,ALB
3,111.47410025025441,105.41442728412036,NOR
4,231.45319762690312,228.36820772808167,NOR
5,284.8086651111286,283.1881122653036,NOR
6,216.611907339265,214.95192659940773,NOR
7,163.01407700890243,157.548656548246,NOR
8,197.1101504530656,191.05087358798124,NOR
9,203.05070408509556,203.0081310284892,NOR
10,112.77532986812092,110.08106871502285,NOR
11,227.0853207677834,224.18602592610418,NOR
12,116.78987858114307,117.85441340069752,ALB
13,222.95171342640882,221.74372650993521,NOR
14,271.70205995728503,270.9552349761548,NOR
15,209.29740486456404,211.7413142421176,ALB
16,199.4201291785929,195.33523326040458,NOR
17,250.6053139062642,247.91856801872223,NOR
18,197.49212810337156,201.26832777117613,ALB
19,181.71264695390065,185.09376995800602,ALB
20,267.5197389424764,269.74725975319075,ALB
21,294.6965219425321,295.39208440699844,ALB
22,158.80436458590478,159.80577849173002,ALB
23,210.2098703763227,207.2342744993319,NOR
24,270.2586203106594,270.4216863456382,ALB
25,284.1333333333333,284.25000106666664,ALB
