Minisector,SAI,TSU,Fastest
0,270.69985987465424,266.9601931368936,SAI
1,290.5658964526611,286.0289472,SAI
2,298.8521382163261,286.95005274028955,SAI
3,123.2010467658935,122.15046369185185,SAI
4,191.57715745185183,193.51610300418938,TSU
5,254.5928678235818,247.32956416145126,SAI
6,139.1792252936531,138.93307879036414,SAI
7,202.77408240437936,200.34389706666667,SAI
8,257.1785705650794,256.6298087155821,SAI
9,278.85581157427913,276.5589601122807,SAI
10,231.83392788210537,220.5653196763199,SAI
11,177.70378636413727,171.7930669659517,SAI
12,191.97534571168066,191.529052198236,SAI
13,147.26549301445584,141.01239114185464,SAI
14,175.98634830131368,174.16905833290323,SAI
15,162.78287560258667,159.6237393165266,SAI
16,216.28885426481452,218.37797971017142,TSU
17,230.4461092789843,223.50950058666666,SAI
18,236.87563681135626,234.9467605419984,SAI
19,239.5113662060606,227.42048706666665,SAI
20,139.16747385530928,141.57621561493357,TSU
21,133.54093156078056,133.5373021569161,SAI
22,171.67499896888887,170.49878977296308,SAI
23,146.55897464456476,148.54838072724306,TSU
24,229.03100030476193,226.32326351111112,SAI
