Minisector,ALO,RUS,Fastest
0,277.17740620902356,275.7096921859364,ALO
1,297.4506600021979,298.06579888126987,RUS
2,299.4718878077097,300.5280451753383,RUS
3,169.06521376067482,186.6509122446011,RUS
4,119.9842569227259,115.04919989263931,ALO
5,237.24126398973968,236.68248022957582,ALO
6,281.80813249341725,281.3879045984107,ALO
7,293.4065827365079,299.4745823893333,RUS
8,169.49880532466713,174.75886725916519,RUS
9,142.75948310241264,139.09874044564282,ALO
10,251.72809392511783,252.02306208211198,RUS
11,289.15359572806767,290.10365876285715,RUS
12,296.76893094492755,300.843698039972,RUS
13,281.38355611760784,282.3959618126407,RUS
14,302.583856422029,305.6457487176289,RUS
15,307.2466263854819,314.12309270690906,RUS
16,248.54733515049688,241.13430489069827,ALO
17,225.43006552820808,222.51875842666666,ALO
18,278.78589972858373,277.623495310358,ALO
19,304.7875002408421,305.8111164602597,RUS
20,309.40055729707154,315.3018547784127,RUS
21,234.6626879447944,230.05814493753604,ALO
22,261.67153171951827,259.73192513493024,ALO
23,135.39835882890932,132.0838188703215,ALO
24,213.96758216300887,209.20077243505187,ALO
