Minisector,SAI,RUS,Fastest
0,275.8292324088259,280.805429782374,RUS
1,295.23889148380954,299.0416349046349,RUS
2,229.75098537295543,224.26101247633557,SAI
3,116.10175106958312,108.35117215713412,SAI
4,125.56720721277246,126.18606158433312,RUS
5,244.6491514788978,247.2548360650794,RUS
6,249.93880481427595,250.7688990072458,RUS
7,121.68428723299895,118.88179482341407,SAI
8,240.803737156022,244.2614181818182,RUS
9,243.32021259988872,257.68083678644615,RUS
10,206.66283735938245,198.57375903448275,SAI
11,139.06298085070162,138.36849608750862,SAI
12,195.27251927750893,201.0094099711399,RUS
13,258.3365314089546,258.4852241887446,RUS
14,111.56236991972858,105.41703208654235,SAI
15,179.78262769390474,182.0220322331318,RUS
16,254.29807916848685,255.16752039960357,RUS
17,285.11958104776744,289.99737783936143,RUS
18,298.9607372867725,307.72696963636366,RUS
19,305.7207878734123,322.92958929356246,RUS
20,309.2932484246914,330.0465595372176,RUS
21,157.89918587525514,134.45807544248927,SAI
22,157.91152358962287,152.51032603192075,SAI
23,192.44472645736303,180.82108431140597,SAI
24,233.07164491271976,239.61080756,RUS
