Minisector,HAM,PER,Fastest
0,252.09361830275554,248.27018423807434,HAM
1,281.57458325333334,280.0900508444444,HAM
2,171.96249462275216,165.41127123566346,HAM
3,169.97526149380494,167.7844040838095,HAM
4,261.19617634707777,260.2394515032205,HAM
5,264.3632597017811,263.0539116698413,HAM
6,219.8441744005983,213.01449941319052,HAM
7,206.43102483885212,194.86076957978548,HAM
8,158.15607825162905,151.72379799622962,HAM
9,220.04887876923078,222.02654249876542,PER
10,273.8818181818182,273.5026074340136,HAM
11,127.53026165830957,122.55601229441466,HAM
12,218.9455284167383,221.13079459886026,PER
13,272.73636363636365,273.1678626336274,PER
14,290.13520837333334,292.71805546666667,PER
15,294.975,299.07395927157575,PER
16,219.78192239858907,211.98505504263622,HAM
17,135.21884454545454,133.1332829449292,HAM
18,140.15027046786443,135.56205894952637,HAM
19,124.97925481499495,121.29681148519796,HAM
20,222.26210542292662,225.16460614798535,PER
21,245.36904730209525,251.9420288463768,PER
22,235.36763457634888,224.730555654321,HAM
23,211.74209820689654,206.30873036442011,HAM
24,147.4552390404584,145.1739185589785,HAM
