Minisector,SAI,OCO,Fastest
0,260.65726118310727,259.0615076266282,SAI
1,278.2020634311111,276.405231122963,SAI
2,283.7623631541853,283.6512952013427,SAI
3,134.58441517083853,129.05535885976903,SAI
4,190.6531060077073,182.26090164297145,SAI
5,251.72311414919673,250.6522047247059,SAI
6,140.1705407690261,137.15619203779806,SAI
7,206.47225317128445,193.00380039470897,SAI
8,253.9202932413673,250.14839849087002,SAI
9,274.3879563598763,274.11073388190476,SAI
10,229.94326530612247,228.689413022167,SAI
11,174.64006311638803,177.50480223536232,OCO
12,184.0830597516957,182.47696464755282,SAI
13,146.62702400371387,139.9328867417367,SAI
14,165.06954966483275,160.95315146424096,SAI
15,155.37976157742506,147.9510206793538,SAI
16,213.5663785211538,204.69248991722944,SAI
17,230.7883005286627,228.27897635268008,SAI
18,232.88587850434683,226.9298239392676,SAI
19,234.31436181813663,247.56479869191412,OCO
20,144.15183240167764,138.5097194925584,SAI
21,132.05284974234132,140.5892870451202,OCO
22,166.5245836629218,151.7483252549939,SAI
23,147.8152508615787,142.23237630745464,SAI
24,227.40954851184156,215.99457650895238,SAI
25,,246.94999893333332,OCO
