Minisector,BEA,ALO,Fastest
0,303.4945262192714,301.8591077687646,BEA
1,201.88619088350126,219.57569845040737,ALO
2,146.433942594557,142.63908545370438,BEA
3,220.55092688675052,221.50927533522335,ALO
4,160.4486559077692,164.7595637913364,ALO
5,186.95962368877392,182.4917316864539,BEA
6,257.38351853981777,253.37691611733334,BEA
7,280.80941554823534,276.9852796546482,BEA
8,287.1376301733333,285.3065295706278,BEA
9,265.278582506567,260.67278842412696,BEA
10,253.2075064051948,241.3313495202497,BEA
11,242.18756432847618,239.88527460077228,BEA
12,204.34243547977897,214.881010778355,ALO
13,130.56948925123442,131.27767501205562,ALO
14,135.90102026835694,144.18444804196432,ALO
15,184.8733384209028,178.50301034736728,BEA
16,256.8750726417927,250.34560841467263,BEA
17,232.5674211149228,243.51480767157287,ALO
18,110.70090757863075,113.68006093410843,ALO
19,198.69643667046165,199.16250332091096,ALO
20,203.29007066419706,204.15890014746344,ALO
21,239.74731211208598,235.03706766875283,BEA
22,271.195637124183,264.2243291286349,BEA
23,289.92298582044447,282.4294269636364,BEA
24,301.746253583301,294.59107305591033,BEA
25,,299.07777706666667,ALO
