Minisector,LEC,BOR,Fastest
0,290.8522325269534,290.5167583487564,LEC
1,300.37832514285714,292.04246287085715,LEC
2,163.82454968766447,155.02020257331796,LEC
3,221.32905509153878,217.33484129272355,LEC
4,272.4446852262584,269.63820871426964,LEC
5,294.1344823877503,290.9904920544038,LEC
6,301.51270835555556,295.2809036753114,LEC
7,168.50326906342528,147.79352173942712,LEC
8,130.81631992431176,142.8786649319728,BOR
9,248.54403883477076,249.76405146763977,BOR
10,283.66854165555554,282.8601358106185,LEC
11,298.06920277252635,287.4354018119474,LEC
12,143.12466871989903,141.33925902837902,LEC
13,187.56011386827026,192.53167438743353,BOR
14,256.75696915704276,254.91015000466268,LEC
15,194.8395743632579,202.66481487214307,BOR
16,216.66064854319487,223.8926436940877,BOR
17,213.40675453144374,215.01860140619914,BOR
18,242.02560158452005,246.44894312769134,BOR
19,277.23441327667535,276.968493765614,LEC
20,294.8472672131602,288.8055531461438,LEC
21,264.73526640513364,255.80019992061614,LEC
22,217.14926503314004,219.41164014878305,BOR
23,199.4238432859979,200.16462659259628,BOR
24,262.93295427094466,264.41380498082543,BOR
25,280.30000071111107,,LEC
