Minisector,RIC,ALO,Fastest
0,319.0270186136646,319.57644961656314,ALO
1,326.11136373333335,329.29829541818185,ALO
2,322.2665631072464,328.28195738781335,ALO
3,193.3140869175101,198.1303401823634,ALO
4,116.4502825633475,116.26339049060226,RIC
5,264.7125501590819,262.18024820599646,RIC
6,300.8456931097432,299.19854621183634,RIC
7,311.88876823188406,313.50510814236077,ALO
8,274.8883319933509,285.4127362883989,ALO
9,139.39541771573892,138.09531700804976,RIC
10,221.6054244235518,218.74651612903116,RIC
11,216.15252539879634,204.25433023757193,RIC
12,192.6915492778303,193.718338006866,ALO
13,266.24856215123225,262.860647545679,RIC
14,303.4730869238572,302.3577037969968,RIC
15,311.7875517283644,317.40688408115943,ALO
16,259.08684452037437,260.29411085731795,ALO
17,205.3925887207934,196.04050000143755,RIC
18,271.39559370282694,265.43564310239327,RIC
19,305.9310039850932,302.4705450362611,RIC
20,318.8538823566912,318.4566390067282,RIC
21,307.9493064888889,304.83923573333334,RIC
22,206.86811400293732,204.56167383703703,RIC
23,262.9901779047619,259.13817220411215,RIC
24,300.03869608766496,299.2328121333333,RIC
25,293.1499968,310.8291658666667,ALO
