Minisector,PIA,COL,Fastest
0,311.9285502630767,312.4046229783252,COL
1,325.3626397025571,328.8859792224414,COL
2,330.4895725873555,332.73608513196956,COL
3,309.43756640699905,302.0646193366667,PIA
4,152.04591849456565,149.69621185104663,PIA
5,188.0227116693081,191.44872174553808,COL
6,214.5399684065483,205.76027605605654,PIA
7,258.64938255530427,252.74936127681667,PIA
8,232.33484158640366,228.39330774030879,PIA
9,152.8992244157811,145.02615174217965,PIA
10,210.2783751525869,203.60841924295067,PIA
11,119.38070922882538,115.16717455682091,PIA
12,233.77940296858242,233.31134442870797,PIA
13,159.53075326930414,187.51795176190382,COL
14,207.74535627400684,195.77348909991463,PIA
15,217.0384439092769,213.64779819291286,PIA
16,257.11083645873896,244.520676692679,PIA
17,285.65502311024835,286.40291650855806,COL
18,139.51376146033414,147.55487369196996,COL
19,157.29352413215386,147.58320974746448,PIA
20,135.08286824109157,130.2596298372026,PIA
21,223.4232132126051,213.855911097736,PIA
22,249.57755029659816,244.8609802943406,PIA
23,232.7383211696549,226.44799595248662,PIA
24,281.5413352543797,273.1145760259824,PIA
25,,300.140626,COL
