Minisector,RAI,MAG,Fastest
0,316.1536488088963,309.8539604730718,RAI
1,229.54478973333335,236.42812732350885,MAG
2,133.16486501692708,137.11643635474715,MAG
3,224.87019132229406,222.28342783905782,RAI
4,271.35448168826525,265.02474284650594,RAI
5,297.25430536685116,289.9477764838692,RAI
6,310.4269133714286,304.83624267192516,RAI
7,292.11842706832925,300.85715144457066,MAG
8,175.05851793205477,177.15267959088504,MAG
9,243.70805262003196,238.53545313688437,RAI
10,279.9550558674472,272.8653445881503,RAI
11,269.8272760839171,271.2309632266554,MAG
12,211.07512750909842,203.88523355048756,RAI
13,130.70656912631867,130.56101889796986,RAI
14,124.14011680287426,125.65719342164728,MAG
15,171.6185042734039,166.06724304007017,RAI
16,123.77218494098696,125.06770556622608,MAG
17,235.78003489427743,232.69650437424752,RAI
18,194.16122063646452,190.76931175411767,RAI
19,166.15619280827372,161.9722446330259,RAI
20,251.93510989986873,248.6532017838193,RAI
21,283.92731739301246,277.56508264134834,RAI
22,301.8127035363833,297.6630357669687,RAI
23,310.27055566222225,316.4632726314017,MAG
24,313.96517233911305,327.0854166095238,MAG
25,315.8642861714286,329.4351463269901,MAG
