Minisector,VER,NOR,Fastest
0,316.86872908,317.278491569733,NOR
1,326.6394897959184,325.23510104,VER
2,322.496418191345,329.18408228786035,NOR
3,170.20434532936105,192.17159214192088,NOR
4,124.36888039791745,116.18429370933603,VER
5,263.87926116141415,261.6994014791563,VER
6,298.65524388304294,297.9327158284706,VER
7,311.6974414830409,307.61430559999997,VER
8,263.1365545712807,268.1803637664303,NOR
9,141.77489658298973,137.99466666888114,VER
10,209.53111583046396,210.01142909943243,NOR
11,216.44854460603673,205.44852193658474,VER
12,194.27639292168794,185.36747911419826,VER
13,267.97616811757194,268.36743666834286,NOR
14,297.0047257345724,309.8207223055616,NOR
15,310.7951315873684,328.104052848735,NOR
16,258.1155479404489,261.41121933824707,NOR
17,211.5516052807174,209.37432481487775,VER
18,271.6903754662451,267.65184394913354,VER
19,304.4402251726708,303.8041488842914,VER
20,315.9041667047619,313.1998819470899,VER
21,294.44749700096617,289.80953737655557,VER
22,206.24126191883485,199.1919573439017,VER
23,262.78769912967033,260.53700549254756,VER
24,299.7246892398032,299.3358338805797,VER
25,311.94999936,,VER
