Minisector,NOR,SAI,Fastest
0,311.0130436173913,292.9148549101449,NOR
1,319.46187504,300.73100656623376,NOR
2,287.0947178236827,274.50266820266665,NOR
3,115.27787884772908,115.21595502706913,NOR
4,227.43536355171094,232.87810939659636,SAI
5,269.85285221587304,273.43049954133335,SAI
6,211.42129573244392,202.36119639698717,NOR
7,176.2120497009009,175.46633732296436,NOR
8,220.63822895087878,216.61009120950177,NOR
9,224.5854167822222,222.53775596277603,NOR
10,116.5419667038088,119.80277344778231,SAI
11,231.75463650333447,234.6865716608983,SAI
12,118.78566345472917,120.41203940419462,SAI
13,227.87383121088436,232.28521400241112,SAI
14,271.71527777777777,274.66100133052123,SAI
15,215.51199925284178,212.02249988605422,NOR
16,207.00192012288787,209.81256470500347,SAI
17,253.01589503209877,253.9743825777778,SAI
18,193.03347003209896,191.1462188197385,NOR
19,194.3421828133922,197.673688640272,SAI
20,266.72942533977266,269.05050984065815,SAI
21,284.889384984127,289.4232868899717,SAI
22,166.72077444270514,168.40275520369875,SAI
23,217.68288759668047,225.57725865154134,SAI
24,271.85905801407864,276.80373319740625,SAI
25,285.2875008,,NOR
