Minisector,ALB,GAS,Fastest
0,257.5192416609524,250.74836864378693,ALB
1,132.3295146881038,131.520893735455,ALB
2,267.0114555365651,261.61106273103445,ALB
3,311.958000128,305.0319773122184,ALB
4,306.48901512727275,302.9668899111111,ALB
5,314.68516676266665,310.534647752381,ALB
6,319.82136423108017,314.52430555555554,ALB
7,317.6003696715729,308.8819443953813,ALB
8,211.9084724667006,200.38095343633157,ALB
9,192.86635232470798,190.09074000807848,ALB
10,189.94415635405016,182.09456480237012,ALB
11,165.63638698314483,163.28392789640355,ALB
12,252.43167368878713,245.85460654037175,ALB
13,275.36146882048536,267.17342699764976,ALB
14,279.83960572014655,272.2580088459031,ALB
15,279.67177942941873,268.92585167891156,ALB
16,185.22957259816232,180.14012034301072,ALB
17,194.55941821273183,192.00438743709952,ALB
18,239.46856231250044,238.82908597135997,ALB
19,290.2334993449362,285.91789505641026,ALB
20,312.08710283809523,305.3365939942029,ALB
21,317.79021746086954,312.2582379702857,ALB
22,314.1987849777778,305.5800440152323,ALB
23,259.15994351854755,260.26488100063494,GAS
24,114.05386046380748,112.24645754563787,ALB
25,226.89582933333332,,ALB
