Minisector,BOR,HAD,Fastest
0,326.5383036398143,322.7088282828283,BOR
1,336.86925006019044,334.69601850158733,BOR
2,334.58525525131023,335.95399117754386,HAD
3,195.00319196270607,195.12926659337867,HAD
4,133.32883800315247,123.57399804165456,BOR
5,264.63615120177917,266.34734963776424,HAD
6,305.51195351625256,303.1939855072464,BOR
7,320.74523311725125,317.53596154943153,BOR
8,280.84812805435536,256.8196160161095,BOR
9,146.29529021187682,146.48468807831347,HAD
10,226.09303340725623,220.91486655320628,BOR
11,224.14352164615866,230.8757550532702,HAD
12,201.28407466432404,205.68183128751062,HAD
13,270.8741914836556,275.7092947330447,HAD
14,308.7463065228833,311.26333802066205,HAD
15,324.5607264419008,324.4521108570865,BOR
16,271.463578360138,254.1891830830769,BOR
17,205.90209708932497,224.29881325029433,HAD
18,277.4781327670857,282.88193650771564,HAD
19,311.4426597036077,313.6736131316455,HAD
20,325.76232153396825,324.85980392156864,BOR
21,313.62254566529265,285.7926154170629,BOR
22,213.18039067397987,213.56649561221656,HAD
23,273.0841814351415,271.865302751151,BOR
24,308.460750735507,308.460620597595,BOR
25,319.9611114666667,,BOR
