Minisector,BOT,OCO,Fastest
0,292.05621791322244,289.16738056272106,BOT
1,302.73642365549955,299.47208065274174,BOT
2,284.01602118084605,280.71384165502644,BOT
3,103.26461307424297,107.82185461847209,OCO
4,219.29369595282054,218.1366187432497,BOT
5,277.5072794949348,269.4270815464141,BOT
6,212.04589058478382,206.125950341215,BOT
7,155.4704834441492,157.22524319648574,OCO
8,202.19105492801478,209.23442178386705,OCO
9,214.26402420215874,213.59205718556143,BOT
10,112.0660949303407,114.90214817575487,OCO
11,227.84172305150278,223.03209423622897,BOT
12,116.31394141811255,114.8895501258034,BOT
13,222.6421650918821,212.48457368076535,BOT
14,284.3560185471193,272.1550916765368,BOT
15,207.3343922401229,217.38521787691298,OCO
16,183.90263059591837,184.64923984712522,OCO
17,246.96818422285716,248.91491993256437,OCO
18,190.24305768802563,204.66511161339477,OCO
19,174.10401282425704,164.69349487169654,BOT
20,260.5611274835466,260.1563481818182,BOT
21,289.8506428823189,285.2187421806098,BOT
22,164.5896233854678,178.2191529877686,OCO
23,208.96318036565017,194.24421369198905,BOT
24,275.4107135068783,265.21936453079365,BOT
25,293.19791733333335,280.1583338666667,BOT
