Minisector,SAI,STR,Fastest
0,296.4162728967282,294.47306807709094,SAI
1,225.25541896892562,222.01189827675424,SAI
2,231.49722370087113,230.43120338189715,SAI
3,276.64947153939397,274.71839655251443,SAI
4,251.6913992961401,245.48642710915752,SAI
5,128.65326448060287,128.66349141548213,STR
6,214.4716939868783,213.20351249293623,SAI
7,265.4507171157098,262.96838648838093,SAI
8,250.98028906079847,247.41072933791247,SAI
9,244.09050787214068,241.4027669854384,SAI
10,279.56462858327694,276.2125804458957,SAI
11,294.62217380136053,292.2295545364387,SAI
12,301.617169824355,301.5787834055053,SAI
13,305.6434125172487,305.37267205182184,SAI
14,304.6947316519529,304.1933335466667,SAI
15,257.9816441139231,249.95279115636365,SAI
16,247.08574627885386,246.21091970667004,SAI
17,280.78596909189645,282.2678967651371,STR
18,292.6829165155556,294.13693952827543,STR
19,165.3111291536853,154.31951325847953,SAI
20,212.776448708673,210.40983237595094,SAI
21,182.96245796669012,176.48214590513817,SAI
22,142.99189226324395,152.70403589819296,STR
23,243.27237547329193,243.01918018880406,SAI
24,283.9871151912156,283.1254294697696,SAI
