Minisector,RIC,STR,Fastest
0,319.0270186136646,315.47499059938804,RIC
1,326.11136373333335,322.95804224559697,RIC
2,322.2665631072464,321.2158942666041,RIC
3,193.3140869175101,197.5762342592996,STR
4,116.4502825633475,116.70135400577685,STR
5,264.7125501590819,261.5040610464747,RIC
6,300.8456931097432,295.95256252730377,RIC
7,311.88876823188406,301.2577898202898,RIC
8,274.8883319933509,278.4865720098765,STR
9,139.39541771573892,142.25189312690148,STR
10,221.6054244235518,222.84051852229578,STR
11,216.15252539879634,209.5947065524632,RIC
12,192.6915492778303,192.31471430626226,RIC
13,266.24856215123225,262.110075913933,RIC
14,303.4730869238572,296.6731664518095,RIC
15,311.7875517283644,302.4411458222222,RIC
16,259.08684452037437,264.70962374448436,STR
17,205.3925887207934,195.9576412846821,RIC
18,271.39559370282694,263.10339429135803,RIC
19,305.9310039850932,297.87316701866666,RIC
20,318.8538823566912,306.85344208695653,RIC
21,307.9493064888889,299.4031248888889,RIC
22,206.86811400293732,207.3424820114286,STR
23,262.9901779047619,256.875,RIC
24,300.03869608766496,296.8926705296262,RIC
25,293.1499968,308.02500053333335,STR
