Minisector,VER,GAS,Fastest
0,299.38985811855906,308.1671951601793,GAS
1,232.77819925210332,236.53392401507259,GAS
2,145.85752875365364,138.36779629854186,VER
3,226.2993035199823,221.29338647606815,VER
4,265.68559146564326,264.9211996349793,VER
5,288.57849752688765,290.8878866601117,GAS
6,301.5858634694735,306.08463894800286,GAS
7,278.16715946666665,277.02793651618094,VER
8,181.9361517602096,175.56223521212047,VER
9,246.39267639258853,242.93462156182073,VER
10,276.93487023058356,277.2153158972096,GAS
11,271.0436795620214,259.32084427434984,VER
12,218.0600040879023,204.85624173403633,VER
13,135.78010992535638,128.45208881981029,VER
14,134.33396906077922,125.08843765684857,VER
15,166.91426992304028,158.29385855549464,VER
16,130.69690645369062,129.4937382598392,VER
17,235.17026572923973,228.88118658242604,VER
18,190.6671044448127,183.26321959911155,VER
19,172.5939828354786,168.6643062430768,VER
20,251.73602494187284,251.13751095973703,VER
21,280.68998715226274,280.0192685006536,VER
22,293.7989578666667,294.3712652842439,GAS
23,302.25019820130694,302.3072918666667,GAS
24,304.76999992888886,305.5897232365288,GAS
25,306.0,,VER
