Minisector,BOT,STR,Fastest
0,291.80781313333335,279.38102085925925,BOT
1,131.38741780194042,127.33315087471861,BOT
2,169.23645725714286,158.68996702265488,BOT
3,224.46043702032722,217.81270349357698,BOT
4,173.83594391247217,159.6919943767431,BOT
5,248.2356474074074,238.36124604310777,BOT
6,209.90156364444445,209.4191599861472,BOT
7,147.6128606710106,135.10552598639455,BOT
8,242.2009915767196,229.62038471619047,BOT
9,279.60212787856415,274.2629986621071,BOT
10,291.3754764088889,283.21927213333333,BOT
11,155.9709458790539,147.24474928178515,BOT
12,226.35702006971707,219.37454479092972,BOT
13,272.83009214814814,268.1468063739909,BOT
14,280.57195038285715,270.50763461415096,BOT
15,107.48994881269842,103.58548160599034,BOT
16,221.0779806273685,210.09014962424243,BOT
17,268.8629623703703,265.7297803819905,BOT
18,290.41838836265435,290.3508028951221,BOT
19,300.1167145397361,300.51015866920636,STR
20,305.4899998577778,300.12083333333334,BOT
21,298.0418231239695,279.3615231372549,BOT
22,164.0843325514371,152.87262387036193,BOT
23,233.09763419316323,228.75666544,BOT
24,276.6917798652159,270.3630365982317,BOT
25,,280.02142811428575,STR
