Minisector,GAS,ZHO,Fastest
0,316.99981842025124,319.64879388070176,ZHO
1,331.7627814496241,337.3572294372294,ZHO
2,334.4479113114638,339.9626063168015,ZHO
3,154.11871451705628,185.81191218609513,ZHO
4,131.80447897902516,124.8625420219251,GAS
5,260.20199365016106,261.1133280782222,ZHO
6,296.43870658181817,298.9734693877551,ZHO
7,311.2855120320452,312.6089028266667,ZHO
8,258.7428766910758,253.99948095238094,GAS
9,143.74853414537603,142.00850464267643,GAS
10,201.39199842563812,206.0043804016182,ZHO
11,197.9460357761482,203.4220605526161,ZHO
12,180.96548626995278,179.1207172297134,GAS
13,266.9032771756999,265.7247391476011,GAS
14,305.86474765452624,309.88075405714284,ZHO
15,326.76971690361904,329.56055555555554,ZHO
16,244.75708346782633,259.09761304446596,ZHO
17,194.29747014680134,197.8763787878788,ZHO
18,266.5851041680119,269.07616185958017,ZHO
19,303.038448603356,305.8864821428571,ZHO
20,320.72598662736846,319.5733135591232,GAS
21,295.48194820444445,298.9016439909297,ZHO
22,190.9278916924822,188.76188758357307,GAS
23,260.9146942169792,260.9247314049587,ZHO
24,298.7485785098955,301.3182825846192,ZHO
25,311.31000064,315.0,ZHO
