Minisector,ALB,ALO,Fastest
0,277.5197271113879,277.17740620902356,ALB
1,299.46106439505706,297.4506600021979,ALB
2,298.1328251442268,299.4718878077097,ALO
3,190.6004354503503,169.06521376067482,ALB
4,118.43029012463684,119.9842569227259,ALO
5,236.12957867913968,236.03187215227513,ALB
6,282.1961988494964,281.1017022932114,ALB
7,299.23242383481,293.4065827365079,ALB
8,175.7063276426321,170.25591404822904,ALB
9,142.28952911829353,142.76460048321238,ALO
10,252.0818043162926,251.72809392511783,ALB
11,292.13693166572597,289.15359572806767,ALB
12,304.06446394122446,297.65118355151515,ALB
13,276.9555489063451,280.7340024795126,ALO
14,303.1976325368691,301.75776946550724,ALB
15,304.88138582284625,307.38429506620776,ALO
16,249.070579337313,252.32037702044568,ALO
17,213.97392504581458,221.4913748361446,ALO
18,277.6132121616931,276.29575211139894,ALB
19,306.3834294945879,303.5708336023704,ALB
20,315.010107494321,310.90496930648334,ALB
21,232.39301758893208,238.73472859619048,ALO
22,256.83490372063545,258.5165857790249,ALO
23,139.74533254315148,142.04687439272752,ALO
24,215.65866859780755,202.2258492807619,ALB
25,,257.3652461558028,ALO
