Minisector,TSU,SAR,Fastest
0,242.781159910559,252.0341677724757,SAR
1,275.15085440969466,292.40015457414387,SAR
2,182.9304725157248,156.51191700642013,TSU
3,152.22201796695202,160.31519073837893,SAR
4,255.26864764062537,252.07306422867026,TSU
5,272.2559846254545,239.64501181252527,TSU
6,236.8581376586166,204.21798824333845,TSU
7,206.3075609900408,189.77159460642363,TSU
8,165.35834778571427,149.1084589312452,TSU
9,215.09640842221015,217.05107364141261,SAR
10,268.75924140376856,276.1304205929004,SAR
11,132.55858923499716,116.16580177576516,TSU
12,207.70803672222223,214.00200157333333,SAR
13,268.0663404502971,277.9221118527988,SAR
14,289.52613993425047,306.5142848927485,SAR
15,299.1018884237873,317.0808719130607,SAR
16,243.58162994212603,224.78640065071951,TSU
17,136.89211123877513,131.21850802390972,TSU
18,136.8952078504496,131.97972025792623,TSU
19,125.35470801214335,119.17529392996026,TSU
20,223.99767685274725,217.79047676724684,TSU
21,258.8793757135161,247.40100620759168,TSU
22,239.25502438348107,219.03557642091783,TSU
23,217.63556556472457,195.19972233296818,TSU
24,135.63170102950684,139.3210106455444,SAR
25,215.66072045714287,,TSU
