Minisector,HUL,OCO,Fastest
0,278.7142856337373,284.28419855875853,OCO
1,248.60714914368242,242.36459073361263,HUL
2,267.0932510201504,267.6863896332362,OCO
3,277.127279748128,277.6388901925926,OCO
4,137.02326866769508,127.29677190742972,HUL
5,209.6928992874807,208.83751672756063,HUL
6,261.95510824531976,267.477706344256,OCO
7,281.28306876046133,290.28544870247634,OCO
8,288.76576112569575,300.3156249333333,OCO
9,292.05514704313725,305.07232447381875,OCO
10,269.61573995599866,301.1282346118364,OCO
11,100.89425724712383,110.0588261530923,OCO
12,223.4167225619385,197.54990806945128,HUL
13,270.2689329696819,270.3008677288681,OCO
14,266.8530943934976,284.14446256935713,OCO
15,132.31865698687156,135.12784530404014,OCO
16,203.79559469857423,196.7138103490278,HUL
17,255.7900104261647,250.01685392138444,HUL
18,242.65964801229856,258.35044698666667,OCO
19,239.54991503132976,235.37276663000875,HUL
20,144.4261375696062,160.0641128497701,OCO
21,192.45647523660983,172.25411337917473,HUL
22,174.10849935670186,176.6966683622062,OCO
23,188.3922466777456,177.6983797340785,HUL
24,249.94765216170686,238.6146784895882,HUL
25,268.92500053333333,270.770832,OCO
