Minisector,VER,VET,Fastest
0,303.05666678303027,294.6595756389234,VER
1,257.992856431746,258.8030757325561,VET
2,199.68816607810137,199.75926833931092,VET
3,265.47665068051947,264.93260348953766,VER
4,232.7943913698237,244.08541583589744,VET
5,120.75384998829102,120.25517157703433,VER
6,181.78703893692278,183.5741491631978,VET
7,258.9434609527308,258.28697924444447,VER
8,291.6561984088598,286.90911695905754,VER
9,306.7149802920635,300.06183716363637,VER
10,314.0278509313283,306.93985356589695,VER
11,226.65566623452096,241.21344878047898,VET
12,151.96545854345146,141.69191724777735,VER
13,260.92808283514574,254.60066666666665,VER
14,293.375568504146,289.59575018461743,VER
15,306.06925600761906,298.55583333333334,VER
16,304.00189988193165,294.5583333587302,VER
17,266.44283758412695,273.5452292348699,VET
18,185.6520097078296,185.4027272039431,VER
19,185.50801284561447,194.88656448038486,VET
20,185.7647197044733,178.64961654963014,VER
21,250.37579417859507,252.87481173589927,VET
22,126.69624430089479,133.10294534326724,VET
23,197.31460459174602,193.5757772975304,VER
24,279.0044360587454,274.2091710470583,VER
25,,289.0,VET
