Minisector,SAI,OCO,Fastest
0,276.9403792970472,274.18245166526316,SAI
1,300.31076386666666,296.2497179588638,SAI
2,295.89553530828715,293.91233335466666,SAI
3,175.81112954240427,181.92944258304297,OCO
4,113.84807860394929,114.80822787162077,OCO
5,234.31559084731182,232.01213952972432,SAI
6,289.08683296426665,278.92596127179485,SAI
7,301.2431671466667,288.3142079086632,SAI
8,175.06014397483025,174.8733145142857,SAI
9,138.8310243982274,136.71892649214197,SAI
10,249.73045936551725,246.91513909147403,SAI
11,290.5079259707593,286.486166272,SAI
12,303.36922148571426,297.56928876416487,SAI
13,281.070476135619,271.1058642962963,SAI
14,300.5850096555176,290.9816185660952,SAI
15,300.7244547936508,295.89638991357725,SAI
16,241.19715435651062,246.45016036063492,OCO
17,221.7089838,218.79281010140778,SAI
18,280.98706665605465,273.0361103407408,SAI
19,308.9432041714286,295.7585540007405,SAI
20,312.65172074314955,295.73541675555555,SAI
21,222.79781758614718,228.0994624312476,OCO
22,255.92591562110186,245.3532530336508,SAI
23,130.92743223050996,138.56253369197125,OCO
24,211.14733332130504,202.21384660652518,SAI
25,257.8875008,253.84722133333332,SAI
