Minisector,LEC,SAI,Fastest
0,281.16509490784756,292.87462777610125,SAI
1,140.9995821873924,139.80702419961267,LEC
2,218.09368299109232,217.6428959830291,LEC
3,284.83063833925235,281.68722959481687,LEC
4,320.9527356735352,309.6629553037242,LEC
5,307.28530653998047,304.4967985893128,LEC
6,149.15110610492636,154.01356436351958,SAI
7,237.45472132155626,241.4901950639344,SAI
8,108.35926835580719,110.55167682543741,SAI
9,172.0599299017348,165.1285460854329,LEC
10,280.8129018685278,277.40061939420195,LEC
11,302.03925061776664,297.97526623749366,LEC
12,210.96826513572393,221.3067170569412,SAI
13,175.074268743971,166.39978096873043,LEC
14,281.7168758717616,276.9975672420616,LEC
15,313.77793449858586,310.70718767140556,LEC
16,326.2399648386755,323.95118545305485,LEC
17,335.29543187704695,332.16750653391136,LEC
18,345.79902214659035,335.6706124621619,LEC
19,351.80381268600956,332.1239930057143,LEC
20,197.1143704343999,202.6747427501579,SAI
21,158.185010225235,167.17797226405062,SAI
22,276.7993358743928,276.06255897791493,LEC
23,310.46114530211514,310.74393745985384,SAI
24,319.3692495455704,320.4208227396894,SAI
