Minisector,PIA,RUS,Fastest
0,302.128556670295,310.5209711643592,RUS
1,237.52739036991454,246.57503877723613,RUS
2,126.78739370205129,120.74970313345247,PIA
3,236.30344317988107,237.77615599223765,RUS
4,193.67421167389782,194.45418042073234,RUS
5,250.16349373088434,244.12732864510133,PIA
6,234.37433602153754,225.7319682310178,PIA
7,253.90082086095236,256.84367866455716,RUS
8,291.41839935464714,295.8076502265688,RUS
9,204.4622433401803,200.5831051977795,PIA
10,203.98679846373759,207.05268278799286,RUS
11,274.92345687515154,277.5306011085325,RUS
12,218.86932661469734,213.5388643373674,PIA
13,257.04772291746343,252.16306180243035,PIA
14,292.91717932068116,298.84493830544005,RUS
15,307.37201534406927,314.6437754327273,RUS
16,305.35221360949686,319.92089661000756,RUS
17,207.85528911238097,205.7431244475388,PIA
18,262.0441611052237,260.24047745193343,PIA
19,295.00649822877784,300.81622656426794,RUS
20,309.64888414451445,316.6127696834161,RUS
21,307.126313068323,319.22491183171843,RUS
22,149.76641914926316,149.216690989843,PIA
23,233.62241292272964,230.62220053513883,PIA
24,286.12119175005347,289.983500202345,RUS
25,297.39000064,302.0572224,RUS
