Minisector,VER,ANT,Fastest
0,306.13239082857143,305.7710233904762,VER
1,162.6716506444325,149.59390983526694,VER
2,218.14796545939393,211.79316277649605,VER
3,288.010226398797,288.39702592524765,ANT
4,315.4851876957143,317.67803590965985,ANT
5,317.0623536136082,318.5442703666667,ANT
6,181.73286145433232,173.6592758515793,VER
7,117.86774049322491,121.67446004857143,ANT
8,243.57298893476082,255.31355098711484,ANT
9,296.9601889238627,298.9585034578132,ANT
10,301.13392040522314,297.7870795169565,VER
11,138.3265231199098,132.78397258378465,VER
12,180.0357679679597,187.45924356290897,ANT
13,244.38953756580017,249.2062256609524,ANT
14,193.26295809311048,183.55888165558645,VER
15,194.8853833599856,196.2339634750673,ANT
16,197.55880356204943,188.06323445088836,VER
17,234.82327776867623,245.00409013333334,ANT
18,280.6085041861816,283.9747460692805,ANT
19,294.0646093242857,296.31945663650794,ANT
20,244.31537323319728,234.43746772266667,VER
21,205.9960882685972,199.90922846726306,VER
22,187.7940000365393,192.98783297391307,ANT
23,270.285089441522,275.7313848615079,ANT
24,304.1308874404762,308.5031417186263,ANT
