Minisector,HAM,SAI,Fastest
0,257.385712067741,260.1430043954122,SAI
1,136.9730975483037,135.47697307709294,HAM
2,265.43262854965985,270.79884798657594,SAI
3,306.89416231624585,308.8304657519367,SAI
4,306.05071428571426,309.40908586666666,SAI
5,315.28193808349675,317.91199504562985,SAI
6,320.37213827838826,322.1486590545454,SAI
7,320.090902175224,324.71407531467054,SAI
8,204.34363068161312,196.87861640019366,HAM
9,205.61899004535613,205.33775070632225,HAM
10,182.72718569861271,186.21307501990228,SAI
11,172.53692745474447,180.07889075137675,SAI
12,259.9493295130795,256.5182839658456,HAM
13,279.80761850142983,285.267334814602,SAI
14,287.0161950250441,287.5152698746921,SAI
15,273.25987286209175,271.82947614150675,HAM
16,178.2265798181322,172.69564999284268,HAM
17,196.71850791113187,194.04297676577778,HAM
18,244.29678819914102,251.93328879246897,SAI
19,286.49684639094204,292.06587280471905,SAI
20,305.39023333333336,308.76042031002805,SAI
21,311.5333770172093,315.0801745426224,SAI
22,308.92554563492064,313.71234402078716,SAI
23,251.66416479259593,265.5036429171446,SAI
24,126.51728664351273,113.14544927104522,HAM
