Minisector,ZHO,ALO,Fastest
0,274.41245694342524,275.1022994048707,ALO
1,112.32535023456151,116.14147873902515,ALO
2,158.44252981202598,143.64896655301587,ZHO
3,208.09349394086877,204.77714040543367,ZHO
4,158.60992361481675,158.94333185907072,ALO
5,237.635908871387,237.10043335928222,ZHO
6,195.69814324878985,225.88925556363637,ALO
7,131.19484718682648,129.336707397563,ZHO
8,230.6169929727259,224.12799862615876,ZHO
9,277.0416215989814,273.6781810439493,ZHO
10,279.999492004169,285.1958007260106,ALO
11,140.83002036248644,143.85962163685608,ALO
12,218.7679910515439,205.0799826805195,ZHO
13,265.0398284304762,261.1700307988571,ZHO
14,252.81809738308124,262.11210630736844,ALO
15,102.58415348655231,100.2595287612023,ZHO
16,215.4644785070763,204.24532895809523,ZHO
17,271.7316495493965,266.8494507980529,ZHO
18,302.0492981853543,296.51870157164024,ZHO
19,318.4797662867647,314.3214377270729,ZHO
20,329.50707177142857,323.3259738285714,ZHO
21,292.27839448134677,295.73014253291007,ALO
22,146.76176338989384,140.4261689779221,ZHO
23,232.80373418224985,226.8826583168783,ZHO
24,282.8971272814124,278.71467481766234,ZHO
25,,291.29545425454546,ALO
