Minisector,SAI,VER,Fastest
0,290.40326953693005,288.8294907851852,SAI
1,294.3375730196079,298.96857142857147,VER
2,158.94853865980363,169.4170819212849,VER
3,217.9918431799846,226.38459893048127,VER
4,270.3504772931696,271.4902411730029,VER
5,292.1171865109815,290.14207920044373,SAI
6,298.8721510269733,297.5060204081633,SAI
7,156.03860987870968,155.59531945139491,SAI
8,123.07914447050506,129.9501677508123,VER
9,247.99310429926436,252.8892539539384,VER
10,288.7547484894942,289.7185317460318,VER
11,301.1523101780494,304.8240988442452,VER
12,148.06569709234842,140.0947640450767,SAI
13,192.8909352066116,200.64596142848131,VER
14,255.67492261137696,258.7111557279588,VER
15,196.49703683483256,200.96407374587343,VER
16,211.31002521104864,226.74523555352062,VER
17,201.890126810386,219.9262111801242,VER
18,237.6091646001803,248.28767850827066,VER
19,276.05539126417113,279.67968067878786,VER
20,294.21297633523807,297.8379761904762,VER
21,260.46071220638413,260.1534678717878,SAI
22,220.30094734689519,224.63045912018143,VER
23,203.60217593803358,209.17384272737903,VER
24,262.43048678319326,267.0397359474808,VER
25,280.8874976,,SAI
