Minisector,BOT,GAS,Fastest
0,288.81907527249746,291.30426041890314,GAS
1,297.77242082696966,300.29807024378266,GAS
2,303.00187977944864,304.90711799999997,GAS
3,305.9050438736842,292.1818908452563,BOT
4,193.10295893333333,167.86486342495405,BOT
5,228.04475326105353,209.1078095664135,BOT
6,257.22833397398784,229.80843575127653,BOT
7,274.581547784127,264.05476588106114,BOT
8,269.2139840710834,249.8779525333333,BOT
9,178.0517493904762,160.19537034327107,BOT
10,236.97554630934337,225.81554649432013,BOT
11,142.55750050666666,134.67578144379735,BOT
12,227.73583388626116,223.97649924266665,BOT
13,205.77894000656815,184.9805766998591,BOT
14,223.8752739801144,222.50384533333335,BOT
15,258.45955623188405,234.18312069776405,BOT
16,270.0158126874383,257.19200531534995,BOT
17,289.0367848399713,277.5954931736961,BOT
18,133.99569140717296,123.90304945973858,BOT
19,170.8147138420168,161.97605453322083,BOT
20,157.0819929759999,149.50360620703114,BOT
21,169.50584667338936,155.85036706491533,BOT
22,121.97571585913806,120.02679340525613,BOT
23,232.93412242168404,231.33092686349207,BOT
24,273.48373023492064,271.4885603829373,BOT
25,286.1124992,,BOT
