Minisector,SAI,OCO,Fastest
0,280.4887969924812,281.4089676927831,OCO
1,120.47481885756692,115.72424835681754,SAI
2,159.19779220999237,161.41247366757904,OCO
3,208.63514748014651,200.6087653426384,SAI
4,158.50930831315787,155.88813502168887,SAI
5,243.01980434521465,241.6871248182857,SAI
6,202.98192376772505,196.63284773197816,SAI
7,132.76403963291344,133.57649365531435,OCO
8,232.94274214119426,226.8299095333738,SAI
9,274.4775092191759,278.02387980682556,OCO
10,282.37923504358616,277.3697368421052,SAI
11,147.7218943047619,138.50994610389765,SAI
12,215.67071432727272,216.17399467826087,OCO
13,268.15204244176215,264.7004738407935,SAI
14,256.76507425989075,249.58318206126904,SAI
15,99.64285031963003,95.53210910766758,SAI
16,219.4457016813328,207.4789417989418,SAI
17,269.1509524342857,271.0581081654641,OCO
18,291.9203843181287,298.9156287419883,OCO
19,304.27703753673603,313.1583872053872,OCO
20,310.19845941064426,322.48281245333334,OCO
21,280.8082544506868,278.817545562328,SAI
22,147.86321988238757,148.40575509506354,OCO
23,232.30047898701298,240.37950930285714,OCO
24,276.71349792232814,284.3636719,OCO
