Minisector,BOT,PER,Fastest
0,288.6481477671957,304.4073270843296,PER
1,301.4077888566477,324.2342794855666,PER
2,306.0294486990909,334.3386044033229,PER
3,307.624181647619,332.82603174603173,PER
4,183.87114710147623,170.6745408218761,BOT
5,207.16589321224774,200.41471329683753,BOT
6,242.8500004254476,233.0379644197095,BOT
7,266.90895906967415,262.72304699753033,BOT
8,280.94428319854785,267.76005683885785,BOT
9,170.35585174554535,161.46133335239952,BOT
10,230.43127863547818,227.66843357045323,BOT
11,146.39471164420016,136.7711885731218,BOT
12,220.35894659808562,214.97883823640993,BOT
13,213.60945893191797,194.76912158887185,BOT
14,207.30330162056418,207.67188500871424,PER
15,250.90189791120537,238.6595570293689,BOT
16,262.0248898274342,249.84777562120865,BOT
17,284.12260308855224,282.00744271243434,BOT
18,168.3916873173605,143.24563069571545,BOT
19,146.18616166687622,162.0286590055783,PER
20,146.63510258484263,143.239243752946,BOT
21,173.2110557158988,157.33117352144393,BOT
22,120.85923568040972,120.38734057713,BOT
23,215.81642529433805,224.86744943889133,PER
24,268.38163845445655,269.1458066567117,PER
