Minisector,HAM,RUS,Fastest
0,291.1604403978562,290.0980101213033,HAM
1,299.79317665408206,298.598423032381,HAM
2,162.6778954106298,162.68817001018962,RUS
3,220.25050305114317,221.43081765003177,RUS
4,272.7688654577778,273.3467633351111,RUS
5,294.12125830502106,293.6497708820915,HAM
6,301.2954265269841,303.93761554225955,RUS
7,179.92626021873724,176.11480982058336,HAM
8,128.58267379961433,132.41671904963778,RUS
9,247.22499412419046,251.42815429818182,RUS
10,285.3467165008947,285.41531201600003,RUS
11,295.91506735714285,293.3050320097959,HAM
12,142.51260983682636,137.61528524796964,HAM
13,190.47953013017377,196.39473028955106,RUS
14,259.62982197603907,257.4719637622857,HAM
15,208.42873822391417,194.32061890302714,HAM
16,213.66582341583398,218.27881160453836,RUS
17,211.81299231515152,209.8666979545679,HAM
18,241.51621569447252,240.02336152513115,HAM
19,275.8590227428572,273.72134330039216,HAM
20,293.64513230560846,291.341975826704,HAM
21,256.0333068030476,260.89736296755905,RUS
22,216.674250547412,212.52603309638724,HAM
23,202.3721793748496,195.59685884639805,HAM
24,264.7440145062933,262.4729730379281,HAM
25,,280.2166656,RUS
