Minisector,RUS,BEA,Fastest
0,312.8318408972542,324.3512756825397,BEA
1,241.8961835017489,216.15811904179455,RUS
2,133.19505103866814,130.65786501461744,RUS
3,218.0485471855639,216.70515164223605,RUS
4,266.18781357360854,261.1423311632567,RUS
5,291.56322316900366,288.6562663335845,RUS
6,307.6744067213507,304.52343175887955,RUS
7,282.6954605180953,268.4690041596761,RUS
8,170.1820670012766,174.08035633085197,BEA
9,237.42896666442914,242.1722357664413,BEA
10,273.5345652111246,273.90042713766235,BEA
11,260.8372445446356,266.3342221796779,BEA
12,206.167099438376,203.09634862641823,RUS
13,122.78762251640212,118.15442271666029,RUS
14,123.35452731001153,124.60269862595345,BEA
15,166.08127421159472,157.36143973219484,RUS
16,123.61017166078958,128.9091161232873,BEA
17,226.8150373491707,234.20950172032093,BEA
18,183.6371940519865,171.00058293051148,RUS
19,161.96234646390363,166.91838622286377,BEA
20,242.99955481931042,249.69204860521563,BEA
21,274.6516893192982,278.0947682907781,BEA
22,292.9543079857143,296.3836318780953,BEA
23,303.4588629490554,314.32674351793275,BEA
24,309.25541686704764,324.3928573186813,BEA
25,311.0,,RUS
