Minisector,RUS,NOR,Fastest
0,299.55114181925927,300.5820870870706,NOR
1,218.62849319418027,207.75288276139383,RUS
2,206.08529499979798,222.38996842349206,NOR
3,268.2867103638247,273.941890461645,NOR
4,234.17723596772487,249.666038442191,NOR
5,122.94633359564955,126.71626286289082,NOR
6,207.2913910418328,201.20356740848584,RUS
7,240.4242419668687,245.79259619913725,NOR
8,238.69029375542752,233.64156022725078,RUS
9,222.9864385590062,238.24392289627156,NOR
10,277.22054400438327,284.92666596434435,NOR
11,308.03365338085183,308.2792193286492,NOR
12,319.8874998736842,316.7935065165945,RUS
13,321.84714592144934,311.83329456790125,RUS
14,314.87452402539685,303.24191449650795,RUS
15,248.87005463219998,264.3044656168598,NOR
16,229.65115355115987,238.6572224715528,NOR
17,282.0817328279035,277.53606412647514,RUS
18,291.931050885545,287.8556017344562,RUS
19,159.68241253353793,162.90253982242177,NOR
20,196.88795730592977,197.07276603235385,NOR
21,189.00188637218506,193.41316546528154,NOR
22,129.03885124817162,126.92495980316224,RUS
23,227.36689418184207,226.4525460824616,RUS
24,268.9503010488363,285.0430558916402,NOR
25,291.93457085299855,297.13333386666665,NOR
