Minisector,NOR,RIC,Fastest
0,270.80493656071303,273.6000373688889,RIC
1,295.8164692803688,298.2659493252873,RIC
2,310.4914238935488,310.7257222682786,RIC
3,318.82404178133334,318.33808342044443,NOR
4,322.8419876051582,323.1677828452381,RIC
5,325.184642976508,326.4286111288889,RIC
6,205.75034960985934,215.94412347582957,RIC
7,103.86405470228036,102.31318567794368,NOR
8,179.75438916,178.0088681744444,NOR
9,260.0641256063492,257.57615953353553,NOR
10,288.3200179244818,289.28936528884134,RIC
11,155.94703063411308,175.2805697105765,RIC
12,96.1451939809378,91.19721169655581,NOR
13,107.72808943046327,111.60755253349167,RIC
14,218.8451571186147,219.03788181122255,RIC
15,190.54147362349764,184.22685803940965,NOR
16,217.8593150566234,220.74561118877838,RIC
17,173.89284731904968,172.76240852458554,NOR
18,232.3523331641103,223.39715470943844,NOR
19,274.96966772335117,272.0455073882353,NOR
20,261.6815187599552,271.5792773289796,RIC
21,143.37515696717088,146.70185188740123,RIC
22,94.21804047663257,92.82106839627644,NOR
23,122.81949968086488,118.7108740510934,NOR
24,224.06037061750908,202.91525242074073,NOR
25,252.85999872000002,250.85891321481483,NOR
