Minisector,PER,MAG,Fastest
0,260.94605365567963,260.8491961888945,PER
1,133.31294380422386,131.81380994744674,PER
2,267.4036656370755,264.57752704268813,PER
3,307.81217756825396,304.07299976533335,PER
4,306.4050000213333,300.73009311796017,PER
5,312.4574398218106,308.24149973333334,PER
6,315.24385881496,312.57909425178883,PER
7,311.31395793754547,313.4539932,MAG
8,197.6156233390753,210.72349718518518,MAG
9,201.17407710841,197.28307118223367,PER
10,178.93090027642612,188.9132427997386,MAG
11,164.9982869282115,161.73011367234778,PER
12,256.3060263495241,250.4281661766284,PER
13,283.5182957390713,285.84048755178964,MAG
14,278.21480039553444,283.5867723738977,MAG
15,271.2842258377176,287.72512544,MAG
16,183.57479376984446,188.33086231623528,MAG
17,190.96719028917335,195.7825186488815,MAG
18,244.76221248735632,237.19288234775445,PER
19,290.82793551480876,285.52369689403145,PER
20,312.50070230913144,305.91440933333337,PER
21,319.51444358029335,313.94334787716684,PER
22,318.6529266666667,312.4242753391304,PER
23,259.76668375491266,280.2131936085735,MAG
24,115.24743140742893,112.52199193524376,PER
25,232.7000064,230.0625,PER
