Minisector,HAM,KVY,Fastest
0,285.4506841192652,277.0031393643276,HAM
1,127.68344737515659,126.67605755577216,HAM
2,154.1106397463743,156.30407976644975,KVY
3,215.44130300289856,208.80881700501405,HAM
4,166.18402776769588,162.70220974126255,HAM
5,247.47799335233606,239.79809474501772,HAM
6,211.08803067906865,207.8247280644962,HAM
7,138.64870477688788,132.91205199742166,HAM
8,235.99290615632594,228.23916565333334,HAM
9,278.94791706666666,271.1032020084146,HAM
10,287.6997537882353,283.1644960268908,HAM
11,148.6151297402242,147.33294848708616,HAM
12,224.83000181333333,216.58823024761904,HAM
13,273.92879506436685,265.312794829305,HAM
14,266.1500972783069,265.6868071111111,HAM
15,100.31206810081885,101.56330924410562,KVY
16,220.47194611555557,216.5619048634921,HAM
17,272.16947307699434,265.172811897709,HAM
18,294.06824330024534,286.03308803585435,HAM
19,303.62809541079366,296.01166656,HAM
20,306.8998616789775,300.3596914545192,HAM
21,280.4473856964058,284.26692633333334,KVY
22,154.78099421754303,158.24065217188763,KVY
23,235.58134927028277,231.09812442666666,HAM
24,277.4622556235294,270.0167366722689,HAM
25,289.7833344,280.11458346666666,HAM
