Minisector,BOT,ALO,Fastest
0,291.9668135193074,290.80753402107933,BOT
1,307.99184997399414,305.6804562229277,BOT
2,315.7797181124183,312.47702570110914,BOT
3,305.8855074116402,293.92639323089946,BOT
4,158.7099092050373,158.50084373981636,BOT
5,196.65783638934775,198.14177440293582,ALO
6,221.00897482418338,219.17384965874209,BOT
7,259.8398261090909,257.6432517507636,BOT
8,233.23529009168524,229.69700351492065,BOT
9,148.92379087199998,148.86574111606245,BOT
10,212.8320199137136,207.82586662360248,BOT
11,128.0003694670356,125.73500634011984,BOT
12,224.0111093811717,227.89644802225197,ALO
13,168.9912380094173,161.81156689799857,BOT
14,207.15101878825396,213.89319557078701,ALO
15,212.69539730498337,215.07582406794475,ALO
16,248.4758746252588,251.39461524812003,ALO
17,277.45169717530865,265.72409817468804,BOT
18,146.45202772687725,134.81961550347756,BOT
19,156.426512165772,160.03047003266093,ALO
20,134.7822784856508,137.8658347748518,ALO
21,147.67034421464416,141.38349590890493,BOT
22,107.36878308927382,107.4450721133392,ALO
23,209.23118946454926,217.9153194817094,ALO
24,260.9284531953719,259.3144325592902,BOT
