Minisector,VER,BOT,Fastest
0,255.10535934587807,255.55645892491577,BOT
1,221.06995080230539,217.8336614529765,VER
2,204.2910102196425,204.81664996376418,BOT
3,258.21282116633864,260.0560110585727,BOT
4,275.2517346723527,275.05729003547685,VER
5,287.6114851605995,286.00471012173915,VER
6,170.07505059601982,165.24589353147536,VER
7,189.88894623765142,183.40510890368554,VER
8,269.6307264470532,266.80836284749597,VER
9,292.7562139120273,292.7298622153799,VER
10,303.24102307850285,303.88154608579504,BOT
11,300.37806178232415,303.592919833173,BOT
12,119.6658958055113,115.96478136524595,VER
13,184.15423425565527,188.1515493447407,BOT
14,270.394618400106,270.452576856222,BOT
15,295.28921844631805,295.22076175105246,VER
16,297.66439393939396,297.0879726259605,VER
17,190.2776190111083,192.2225827615218,BOT
18,226.31682827383847,227.1771853000885,BOT
19,268.38559063499935,269.91597994530895,BOT
20,156.42020245986512,153.23556331335658,VER
21,155.0551019907787,148.8369558911113,VER
22,222.5148559035716,224.14631887307291,BOT
23,237.35938071194778,228.51185661872253,VER
24,165.02075413376258,158.9578255710501,VER
25,230.208336,228.6666624,VER
