Minisector,BOT,RIC,Fastest
0,239.52661577339651,237.56488069596648,BOT
1,287.83600025600003,283.913571072,BOT
2,301.7123803990128,297.95394273524744,BOT
3,308.3988095873016,305.61818841043475,BOT
4,268.43966218271606,255.28802293086687,BOT
5,171.27843346544108,171.03420627772357,BOT
6,265.50703519604207,264.27771146808533,BOT
7,285.3316667733333,283.7213093973333,BOT
8,212.89570859807733,212.2112084985034,BOT
9,226.1726106375888,225.87968642380952,BOT
10,180.21771363503896,179.08061042666665,BOT
11,232.17059532456435,228.32652129160886,BOT
12,209.41034990726155,200.1538198814815,BOT
13,211.3936820449227,208.478617551393,BOT
14,228.26101786845624,221.03451814761905,BOT
15,177.53768008661484,179.16738393210665,RIC
16,250.2551804866429,249.22333149328853,BOT
17,290.8311236113463,288.2941837444444,BOT
18,304.97595332628686,301.59227997975904,BOT
19,288.781343704486,292.0852356034973,RIC
20,128.78960785317173,130.31839360761307,RIC
21,155.2490141539271,150.92760897667634,BOT
22,158.83325162638766,156.4808233733448,BOT
23,202.1050936152628,201.87379234738702,BOT
24,149.30240330989272,150.10651689791166,RIC
25,192.50000213333334,190.2,BOT
