Minisector,NOR,TSU,Fastest
0,308.7430213422222,307.73514290962964,NOR
1,189.54582891032427,182.0523303774638,NOR
2,111.56317294618017,113.89221935117502,TSU
3,189.11771511343773,202.33837284749313,TSU
4,253.1882381439923,257.3370161149783,TSU
5,282.5428567695238,284.9015386978201,TSU
6,299.3022397696192,298.10194223956995,NOR
7,235.63603213561905,236.3672899490137,TSU
8,146.1280794784163,144.54619214775605,NOR
9,228.39055806048455,227.80234303054237,NOR
10,269.62490545015874,268.81318817835705,NOR
11,225.98010543264573,227.2233166590078,TSU
12,177.7790875629932,174.15446204010067,NOR
13,108.25343787448281,108.31411835772087,TSU
14,103.91661753102453,106.16511388795772,TSU
15,136.1037887809555,139.7308309723158,TSU
16,111.78247106365964,109.47198455369971,NOR
17,206.3317618583851,197.92900825258545,NOR
18,162.29023210185056,169.73294657751623,TSU
19,147.6967231176407,140.30837611144162,NOR
20,239.69743138533303,235.31501051367002,NOR
21,272.9226999737374,271.4045554558946,NOR
22,291.2816954697143,290.9481429808035,NOR
23,302.41171971573687,299.73823580454547,NOR
24,308.1886058597373,304.95156248,NOR
25,310.0,306.0,NOR
