Minisector,LEC,BOT,Fastest
0,321.8195388016133,306.61128752592595,LEC
1,221.72922465190084,234.31219005507705,BOT
2,133.69624667870195,120.74817404087291,LEC
3,217.58476807064935,213.6416505221989,LEC
4,262.5077793643932,260.7701439081237,LEC
5,292.754895056201,285.6662618340741,LEC
6,311.50829569357575,295.17230408784314,LEC
7,274.2069015594987,276.3702077288854,BOT
8,161.77081539819795,164.6578221220839,BOT
9,238.64852592429835,236.15299890013654,LEC
10,273.3450472358399,266.6574250105263,LEC
11,252.5161198240363,252.259372193875,LEC
12,192.32422850862648,199.24788830814813,BOT
13,114.675891954967,119.57750729321683,BOT
14,120.17624303752177,123.50947824802104,BOT
15,145.77470383612254,146.66159216313724,BOT
16,133.83842966870262,128.16863161930138,LEC
17,235.91812450913955,227.8159087474026,LEC
18,167.01589051028813,161.62170769819426,LEC
19,168.68883699739885,166.85574312777143,LEC
20,245.69494779988793,244.41947296268887,LEC
21,275.9901871605636,269.23098569312174,LEC
22,298.6274219329293,286.02536495731096,LEC
23,315.88986122666665,296.0101469549822,LEC
24,326.63845682315593,302.3983631619048,LEC
